epoch=66 env_step=2661120 gradient_step=20790 train_rew=0.669720 train_len=25 n_ep=25 n_st=640 loss=-0.001084 loss_clip=-0.001247 loss_ent=0.496361 loss_vf=0.001319 test_reward=0.587900 test_reward_std=0.165983 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=67 env_step=2701440 gradient_step=21105 train_rew=0.677192 train_len=26 n_ep=26 n_st=640 loss=0.003111 loss_clip=0.002850 loss_ent=0.478270 loss_vf=0.001479 test_reward=0.677000 test_reward_std=0.069017 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=68 env_step=2741760 gradient_step=21420 train_rew=0.694944 train_len=31 n_ep=18 n_st=640 loss=-0.000452 loss_clip=-0.000919 loss_ent=0.500639 loss_vf=0.001935 test_reward=0.703900 test_reward_std=0.080140 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=69 env_step=2782080 gradient_step=21735 train_rew=0.688118 train_len=26 n_ep=17 n_st=640 loss=-0.001325 loss_clip=-0.001644 loss_ent=0.571551 loss_vf=0.001782 test_reward=0.735300 test_reward_std=0.091186 best_reward=0.735300 best_reward_std=0.091186 best_epoch=69
epoch=70 env_step=2822400 gradient_step=22050 train_rew=0.667939 train_len=28 n_ep=33 n_st=640 loss=-0.009631 loss_clip=-0.009833 loss_ent=0.504046 loss_vf=0.001412 test_reward=0.683600 test_reward_std=0.088962 best_reward=0.735300 best_reward_std=0.091186 best_epoch=69
epoch=71 env_step=2862720 gradient_step=22365 train_rew=0.680750 train_len=28 n_ep=20 n_st=640 loss=0.008905 loss_clip=0.008558 loss_ent=0.547085 loss_vf=0.001787 test_reward=0.655000 test_reward_std=0.092090 best_reward=0.735300 best_reward_std=0.091186 best_epoch=69
epoch=72 env_step=2903040 gradient_step=22680 train_rew=0.669708 train_len=27 n_ep=24 n_st=640 loss=-0.001743 loss_clip=-0.001898 loss_ent=0.488214 loss_vf=0.001288 test_reward=0.705800 test_reward_std=0.056060 best_reward=0.735300 best_reward_std=0.091186 best_epoch=69
epoch=73 env_step=2943360 gradient_step=22995 train_rew=0.655895 train_len=26 n_ep=19 n_st=640 loss=-0.000900 loss_clip=-0.000986 loss_ent=0.454733 loss_vf=0.001082 test_reward=0.651400 test_reward_std=0.116196 best_reward=0.735300 best_reward_std=0.091186 best_epoch=69
epoch=74 env_step=2983680 gradient_step=23310 train_rew=0.699333 train_len=28 n_ep=24 n_st=640 loss=-0.001591 loss_clip=-0.001708 loss_ent=0.474704 loss_vf=0.001182 test_reward=0.709400 test_reward_std=0.059237 best_reward=0.735300 best_reward_std=0.091186 best_epoch=69
epoch=75 env_step=3024000 gradient_step=23625 train_rew=0.660909 train_len=28 n_ep=22 n_st=640 loss=0.006068 loss_clip=0.005019 loss_ent=0.619191 loss_vf=0.003335 test_reward=0.698000 test_reward_std=0.085431 best_reward=0.735300 best_reward_std=0.091186 best_epoch=69
epoch=76 env_step=3064320 gradient_step=23940 train_rew=0.642038 train_len=27 n_ep=26 n_st=640 loss=-0.007177 loss_clip=-0.007160 loss_ent=0.635304 loss_vf=0.001236 test_reward=0.622600 test_reward_std=0.105305 best_reward=0.735300 best_reward_std=0.091186 best_epoch=69
epoch=77 env_step=3104640 gradient_step=24255 train_rew=0.670579 train_len=26 n_ep=19 n_st=640 loss=-0.004209 loss_clip=-0.004211 loss_ent=0.589890 loss_vf=0.001184 test_reward=0.655200 test_reward_std=0.073385 best_reward=0.735300 best_reward_std=0.091186 best_epoch=69
epoch=78 env_step=3144960 gradient_step=24570 train_rew=0.646593 train_len=24 n_ep=27 n_st=640 loss=0.000506 loss_clip=0.000438 loss_ent=0.663461 loss_vf=0.001462 test_reward=0.663400 test_reward_std=0.063805 best_reward=0.735300 best_reward_std=0.091186 best_epoch=69
epoch=79 env_step=3185280 gradient_step=24885 train_rew=0.680269 train_len=27 n_ep=26 n_st=640 loss=-0.000905 loss_clip=-0.000817 loss_ent=0.714673 loss_vf=0.001253 test_reward=0.693800 test_reward_std=0.046870 best_reward=0.735300 best_reward_std=0.091186 best_epoch=69
epoch=80 env_step=3225600 gradient_step=25200 train_rew=0.666182 train_len=27 n_ep=22 n_st=640 loss=-0.001724 loss_clip=-0.001598 loss_ent=0.746819 loss_vf=0.001243 test_reward=0.653100 test_reward_std=0.078732 best_reward=0.735300 best_reward_std=0.091186 best_epoch=69
epoch=81 env_step=3265920 gradient_step=25515 train_rew=0.674909 train_len=29 n_ep=22 n_st=640 loss=-0.003622 loss_clip=-0.003618 loss_ent=0.618604 loss_vf=0.001229 test_reward=0.643700 test_reward_std=0.151804 best_reward=0.735300 best_reward_std=0.091186 best_epoch=69
epoch=82 env_step=3306240 gradient_step=25830 train_rew=0.670783 train_len=26 n_ep=23 n_st=640 loss=-0.004423 loss_clip=-0.004291 loss_ent=0.685875 loss_vf=0.001107 test_reward=0.647900 test_reward_std=0.085210 best_reward=0.735300 best_reward_std=0.091186 best_epoch=69
epoch=83 env_step=3346560 gradient_step=26145 train_rew=0.660615 train_len=25 n_ep=26 n_st=640 loss=-0.002123 loss_clip=-0.002833 loss_ent=0.687656 loss_vf=0.002796 test_reward=0.637400 test_reward_std=0.090037 best_reward=0.735300 best_reward_std=0.091186 best_epoch=69
epoch=84 env_step=3386880 gradient_step=26460 train_rew=0.667125 train_len=27 n_ep=24 n_st=640 loss=-0.009574 loss_clip=-0.009711 loss_ent=0.551715 loss_vf=0.001378 test_reward=0.642600 test_reward_std=0.135547 best_reward=0.735300 best_reward_std=0.091186 best_epoch=69
epoch=85 env_step=3427200 gradient_step=26775 train_rew=0.688913 train_len=27 n_ep=23 n_st=640 loss=-0.002303 loss_clip=-0.002322 loss_ent=0.532439 loss_vf=0.001103 test_reward=0.697400 test_reward_std=0.085374 best_reward=0.735300 best_reward_std=0.091186 best_epoch=69
epoch=86 env_step=3467520 gradient_step=27090 train_rew=0.682077 train_len=28 n_ep=26 n_st=640 loss=-0.010757 loss_clip=-0.010813 loss_ent=0.561088 loss_vf=0.001234 test_reward=0.690800 test_reward_std=0.071911 best_reward=0.735300 best_reward_std=0.091186 best_epoch=69
epoch=87 env_step=3507840 gradient_step=27405 train_rew=0.680389 train_len=28 n_ep=18 n_st=640 loss=0.010229 loss_clip=0.009878 loss_ent=0.562711 loss_vf=0.001827 test_reward=0.696700 test_reward_std=0.091390 best_reward=0.735300 best_reward_std=0.091186 best_epoch=69
epoch=88 env_step=3548160 gradient_step=27720 train_rew=0.674950 train_len=25 n_ep=20 n_st=640 loss=0.005019 loss_clip=0.004847 loss_ent=0.550628 loss_vf=0.001445 test_reward=0.681400 test_reward_std=0.063418 best_reward=0.735300 best_reward_std=0.091186 best_epoch=69
epoch=89 env_step=3588480 gradient_step=28035 train_rew=0.687083 train_len=26 n_ep=24 n_st=640 loss=0.002140 loss_clip=0.001848 loss_ent=0.465920 loss_vf=0.001517 test_reward=0.704000 test_reward_std=0.054721 best_reward=0.735300 best_reward_std=0.091186 best_epoch=69
epoch=90 env_step=3628800 gradient_step=28350 train_rew=0.697467 train_len=29 n_ep=30 n_st=640 loss=-0.001885 loss_clip=-0.002116 loss_ent=0.493967 loss_vf=0.001449 test_reward=0.707500 test_reward_std=0.054665 best_reward=0.735300 best_reward_std=0.091186 best_epoch=69
epoch=91 env_step=3669120 gradient_step=28665 train_rew=0.660292 train_len=26 n_ep=24 n_st=640 loss=-0.001208 loss_clip=-0.001115 loss_ent=0.668148 loss_vf=0.001150 test_reward=0.686500 test_reward_std=0.066413 best_reward=0.735300 best_reward_std=0.091186 best_epoch=69
