epoch=57 env_step=114000 gradient_step=7125 train_rew=-0.389843 train_len=15 n_ep=1 n_st=16 loss=0.005084 loss_clip=0.002840 loss_ent=1.324370 loss_vf=0.007136 test_reward=-0.290737 test_reward_std=0.129795 best_reward=-0.241928 best_reward_std=0.160018 best_epoch=54
epoch=58 env_step=116000 gradient_step=7250 train_rew=-0.448152 train_len=17 n_ep=0 n_st=16 loss=0.001795 loss_clip=0.001374 loss_ent=1.245517 loss_vf=0.003333 test_reward=-0.277774 test_reward_std=0.229707 best_reward=-0.241928 best_reward_std=0.160018 best_epoch=54
epoch=59 env_step=118000 gradient_step=7375 train_rew=-0.467847 train_len=28 n_ep=1 n_st=16 loss=0.002627 loss_clip=0.000373 loss_ent=1.286167 loss_vf=0.007081 test_reward=-0.213899 test_reward_std=0.151299 best_reward=-0.213899 best_reward_std=0.151299 best_epoch=59
epoch=60 env_step=120000 gradient_step=7500 train_rew=-0.281423 train_len=16 n_ep=1 n_st=16 loss=0.002719 loss_clip=-0.000224 loss_ent=1.357677 loss_vf=0.008600 test_reward=-0.216861 test_reward_std=0.173799 best_reward=-0.213899 best_reward_std=0.151299 best_epoch=59
epoch=61 env_step=122000 gradient_step=7625 train_rew=-0.490696 train_len=15 n_ep=1 n_st=16 loss=0.005965 loss_clip=0.000976 loss_ent=1.264525 loss_vf=0.012507 test_reward=-0.334510 test_reward_std=0.168028 best_reward=-0.213899 best_reward_std=0.151299 best_epoch=59
epoch=62 env_step=124000 gradient_step=7750 train_rew=-0.105313 train_len=21 n_ep=0 n_st=16 loss=0.005405 loss_clip=0.002412 loss_ent=1.206413 loss_vf=0.008398 test_reward=-0.212498 test_reward_std=0.148041 best_reward=-0.212498 best_reward_std=0.148041 best_epoch=62
epoch=63 env_step=126000 gradient_step=7875 train_rew=-0.235603 train_len=21 n_ep=1 n_st=16 loss=0.001518 loss_clip=-0.000551 loss_ent=1.170568 loss_vf=0.006478 test_reward=-0.249596 test_reward_std=0.181036 best_reward=-0.212498 best_reward_std=0.148041 best_epoch=62
epoch=64 env_step=128000 gradient_step=8000 train_rew=-0.402353 train_len=12 n_ep=0 n_st=16 loss=0.005084 loss_clip=0.001687 loss_ent=1.015439 loss_vf=0.008825 test_reward=-0.211170 test_reward_std=0.211029 best_reward=-0.211170 best_reward_std=0.211029 best_epoch=64
epoch=65 env_step=130000 gradient_step=8125 train_rew=-0.494414 train_len=17 n_ep=1 n_st=16 loss=0.003646 loss_clip=0.001739 loss_ent=0.970767 loss_vf=0.005754 test_reward=-0.233028 test_reward_std=0.245771 best_reward=-0.211170 best_reward_std=0.211029 best_epoch=64
epoch=66 env_step=132000 gradient_step=8250 train_rew=-0.404029 train_len=22 n_ep=1 n_st=16 loss=0.001205 loss_clip=0.000196 loss_ent=1.011799 loss_vf=0.004042 test_reward=-0.373695 test_reward_std=0.236961 best_reward=-0.211170 best_reward_std=0.211029 best_epoch=64
epoch=67 env_step=134000 gradient_step=8375 train_rew=-0.187510 train_len=19 n_ep=1 n_st=16 loss=0.000555 loss_clip=-0.001229 loss_ent=1.039956 loss_vf=0.005647 test_reward=-0.266489 test_reward_std=0.240741 best_reward=-0.211170 best_reward_std=0.211029 best_epoch=64
