epoch=61 env_step=122000 gradient_step=7625 train_rew=0.668000 train_len=29 n_ep=1 n_st=16 loss=0.000719 loss_clip=-0.000505 loss_ent=0.879741 loss_vf=0.004209 test_reward=0.619300 test_reward_std=0.048357 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=62 env_step=124000 gradient_step=7750 train_rew=0.655000 train_len=24 n_ep=0 n_st=16 loss=0.003225 loss_clip=0.001515 loss_ent=0.967271 loss_vf=0.005355 test_reward=0.616700 test_reward_std=0.087087 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=63 env_step=126000 gradient_step=7875 train_rew=0.548500 train_len=25 n_ep=0 n_st=16 loss=0.002490 loss_clip=-0.000743 loss_ent=1.038408 loss_vf=0.008543 test_reward=0.536400 test_reward_std=0.116891 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=64 env_step=128000 gradient_step=8000 train_rew=0.808000 train_len=37 n_ep=0 n_st=16 loss=0.001167 loss_clip=0.000025 loss_ent=0.963837 loss_vf=0.004213 test_reward=0.609500 test_reward_std=0.080826 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=65 env_step=130000 gradient_step=8125 train_rew=0.610000 train_len=26 n_ep=0 n_st=16 loss=0.001891 loss_clip=0.000040 loss_ent=0.969272 loss_vf=0.005640 test_reward=0.606400 test_reward_std=0.086886 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=66 env_step=132000 gradient_step=8250 train_rew=0.745500 train_len=33 n_ep=2 n_st=16 loss=0.000485 loss_clip=-0.000247 loss_ent=0.914990 loss_vf=0.003295 test_reward=0.633000 test_reward_std=0.051581 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=67 env_step=134000 gradient_step=8375 train_rew=0.473000 train_len=24 n_ep=2 n_st=16 loss=0.000838 loss_clip=-0.000733 loss_ent=0.864530 loss_vf=0.004872 test_reward=0.609100 test_reward_std=0.104679 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=68 env_step=136000 gradient_step=8500 train_rew=0.597500 train_len=22 n_ep=0 n_st=16 loss=0.003368 loss_clip=0.001581 loss_ent=0.942596 loss_vf=0.005458 test_reward=0.668200 test_reward_std=0.068461 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=69 env_step=138000 gradient_step=8625 train_rew=0.530000 train_len=20 n_ep=0 n_st=16 loss=-0.000007 loss_clip=-0.000987 loss_ent=0.855895 loss_vf=0.003671 test_reward=0.626200 test_reward_std=0.142546 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=70 env_step=140000 gradient_step=8750 train_rew=0.675000 train_len=24 n_ep=2 n_st=16 loss=0.000037 loss_clip=-0.000950 loss_ent=0.738100 loss_vf=0.003451 test_reward=0.619200 test_reward_std=0.070003 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=71 env_step=142000 gradient_step=8875 train_rew=0.731000 train_len=34 n_ep=0 n_st=16 loss=0.001855 loss_clip=-0.000803 loss_ent=0.746701 loss_vf=0.006809 test_reward=0.566600 test_reward_std=0.155760 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=72 env_step=144000 gradient_step=9000 train_rew=0.706000 train_len=19 n_ep=0 n_st=16 loss=0.002468 loss_clip=-0.000256 loss_ent=0.743778 loss_vf=0.006936 test_reward=0.657300 test_reward_std=0.065996 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
