epoch=57 env_step=2298240 gradient_step=17955 train_rew=-0.123783 train_len=15 n_ep=47 n_st=640 loss=0.002568 loss_clip=0.001595 loss_ent=0.457826 loss_vf=0.002862 test_reward=-0.150137 test_reward_std=0.130487 best_reward=-0.068971 best_reward_std=0.144209 best_epoch=39
epoch=58 env_step=2338560 gradient_step=18270 train_rew=-0.140310 train_len=15 n_ep=32 n_st=640 loss=0.000936 loss_clip=-0.000180 loss_ent=0.372164 loss_vf=0.002975 test_reward=-0.053153 test_reward_std=0.106305 best_reward=-0.053153 best_reward_std=0.106305 best_epoch=58
epoch=59 env_step=2378880 gradient_step=18585 train_rew=-0.147701 train_len=15 n_ep=40 n_st=640 loss=0.000113 loss_clip=-0.000869 loss_ent=0.375986 loss_vf=0.002716 test_reward=-0.181009 test_reward_std=0.069546 best_reward=-0.053153 best_reward_std=0.106305 best_epoch=58
epoch=60 env_step=2419200 gradient_step=18900 train_rew=-0.135852 train_len=15 n_ep=40 n_st=640 loss=-0.001305 loss_clip=-0.002882 loss_ent=0.399036 loss_vf=0.003951 test_reward=-0.219717 test_reward_std=0.168669 best_reward=-0.053153 best_reward_std=0.106305 best_epoch=58
epoch=61 env_step=2459520 gradient_step=19215 train_rew=-0.109864 train_len=16 n_ep=44 n_st=640 loss=-0.001476 loss_clip=-0.002504 loss_ent=0.403892 loss_vf=0.002862 test_reward=-0.088505 test_reward_std=0.131331 best_reward=-0.053153 best_reward_std=0.106305 best_epoch=58
epoch=62 env_step=2499840 gradient_step=19530 train_rew=-0.126202 train_len=14 n_ep=44 n_st=640 loss=0.012908 loss_clip=0.010749 loss_ent=0.440897 loss_vf=0.005199 test_reward=-0.219930 test_reward_std=0.155072 best_reward=-0.053153 best_reward_std=0.106305 best_epoch=58
epoch=63 env_step=2540160 gradient_step=19845 train_rew=-0.116635 train_len=15 n_ep=47 n_st=640 loss=0.004843 loss_clip=0.003978 loss_ent=0.417815 loss_vf=0.002566 test_reward=-0.101288 test_reward_std=0.150353 best_reward=-0.053153 best_reward_std=0.106305 best_epoch=58
epoch=64 env_step=2580480 gradient_step=20160 train_rew=-0.130123 train_len=16 n_ep=47 n_st=640 loss=-0.005539 loss_clip=-0.006742 loss_ent=0.386847 loss_vf=0.003181 test_reward=-0.117762 test_reward_std=0.062575 best_reward=-0.053153 best_reward_std=0.106305 best_epoch=58
epoch=65 env_step=2620800 gradient_step=20475 train_rew=-0.170494 train_len=16 n_ep=38 n_st=640 loss=0.003390 loss_clip=0.002460 loss_ent=0.342707 loss_vf=0.002546 test_reward=-0.086155 test_reward_std=0.125431 best_reward=-0.053153 best_reward_std=0.106305 best_epoch=58
epoch=66 env_step=2661120 gradient_step=20790 train_rew=-0.148440 train_len=16 n_ep=38 n_st=640 loss=-0.001466 loss_clip=-0.003097 loss_ent=0.333852 loss_vf=0.003930 test_reward=-0.067813 test_reward_std=0.150779 best_reward=-0.053153 best_reward_std=0.106305 best_epoch=58
